
Host: RishiLaptop

Timers On : Sun Nov 16 14:02:52 2025
Timers Off: Sun Nov 16 14:03:15 2025

Wall Time:       22.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov 16 14:36:31 2025
Timers Off: Sun Nov 16 14:37:19 2025

Wall Time:       48.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov 16 14:48:38 2025
Timers Off: Sun Nov 16 14:49:01 2025

Wall Time:       22.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:10:00 2025
Timers Off: Sat Nov 22 21:10:05 2025

Wall Time:        4.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: DIIS                            :      0.000u      0.000s      0.229w      9 calls
HF: Form C                          :      0.000u      0.000s      0.008w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.012w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.009w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.047w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.008w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.011w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.052w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.051w      1 calls
HF: Form G                          :      0.000u      0.000s      0.028w     10 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      0.000u      0.000s      0.028w     10 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.028w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     10 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.015w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.229w      9 calls
HF: Form C                          :      0.000u      0.000s      0.008w      9 calls
JK: D                               :      0.000u      0.000s      0.002w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w      8 calls
JK: JK                              :      0.000u      0.000s      0.444w      8 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.443w      8 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w      8 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.036w      8 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.399w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:26:10 2025
Timers Off: Sat Nov 22 21:33:06 2025

Wall Time:      416.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.365w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.709w      7 calls
JK: (A|Q)^-1                        :      0.000u      0.000s      2.058w      1 calls
JK: (A|mn)                          :      0.000u      0.000s      1.994w      5 calls
JK: (Q|mn)                          :      0.000u      0.000s      5.110w      5 calls
JK: (Q|mn) Write                    :      0.000u      0.000s      0.648w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.128w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.033w      1 calls
HF: Guess                           :      0.000u      0.000s      0.071w      1 calls
SAD Guess                           :      0.000u      0.000s      0.069w      1 calls
HF: Form G                          :      0.000u      0.000s     36.558w     20 calls
JK: D                               :      0.000u      0.000s      0.107w     32 calls
JK: USO2AO                          :      0.000u      0.000s      0.033w     32 calls
JK: JK                              :      0.000u      0.000s    390.340w     32 calls
JK: (Q|mn) Read                     :      0.000u      0.000s     10.586w    301 calls
JK: J                               :      0.000u      0.000s     22.457w    301 calls
JK: J1                              :      0.000u      0.000s      9.617w   3461 calls
JK: J2                              :      0.000u      0.000s     10.726w   3461 calls
JK: K                               :      0.000u      0.000s    356.593w    301 calls
JK: K1                              :      0.000u      0.000s    186.329w   3621 calls
JK: K2                              :      0.000u      0.000s    170.230w   3461 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     32 calls
HF: Form F                          :      0.000u      0.000s      0.003w     20 calls
HF: Form D                          :      0.000u      0.000s      0.007w     20 calls
HF: DIIS                            :      0.000u      0.000s      0.881w     19 calls
HF: Form C                          :      0.000u      0.000s      0.582w     19 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.365w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.241w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.467w      2 calls
JK: (A|Q)^-1                        :      0.000u      0.000s      2.058w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      4 calls
JK: (A|mn)                          :      0.000u      0.000s      1.994w      5 calls
JK: (Q|mn)                          :      0.000u      0.000s      5.110w      5 calls
JK: (Q|mn) Write                    :      0.000u      0.000s      0.648w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.128w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.033w      1 calls
HF: Guess                           :      0.000u      0.000s      0.071w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.069w      1 calls
HF: Form G                          :      0.000u      0.000s     36.558w     20 calls
| JK: D                             :      0.000u      0.000s      0.006w     20 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     20 calls
| JK: JK                            :      0.000u      0.000s     36.544w     20 calls
| | JK: (Q|mn) Read                 :      0.000u      0.000s      6.420w    141 calls
| | JK: J                           :      0.000u      0.000s      1.815w    141 calls
| | | JK: J1                        :      0.000u      0.000s      0.824w    141 calls
| | | JK: J2                        :      0.000u      0.000s      0.913w    141 calls
| | JK: K                           :      0.000u      0.000s     27.873w    141 calls
| | | JK: K1                        :      0.000u      0.000s     14.901w    141 calls
| | | JK: K2                        :      0.000u      0.000s     12.966w    141 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.003w     20 calls
HF: Form D                          :      0.000u      0.000s      0.007w     20 calls
HF: DIIS                            :      0.000u      0.000s      0.881w     19 calls
HF: Form C                          :      0.000u      0.000s      0.582w     19 calls
JK: D                               :      0.000u      0.000s      0.101w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.032w     12 calls
JK: JK                              :      0.000u      0.000s    353.796w     12 calls
| JK: (Q|mn) Read                   :      0.000u      0.000s      4.166w    160 calls
| JK: J                             :      0.000u      0.000s     20.642w    160 calls
| | JK: J1                          :      0.000u      0.000s      8.793w   3320 calls
| | JK: J2                          :      0.000u      0.000s      9.813w   3320 calls
| JK: K                             :      0.000u      0.000s    328.720w    160 calls
| | JK: K1                          :      0.000u      0.000s    171.427w   3480 calls
| | JK: K2                          :      0.000u      0.000s    157.264w   3320 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Mon Dec  8 19:59:48 2025
Timers Off: Mon Dec  8 19:59:49 2025

Wall Time:        1.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
